,endTime,artistName,trackName,albumName,msPlayed,month,year,Season,trackUri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Percentage_Listened
4413,1/28/2022 23:17,Problem,That Nigga (feat. Jay Ant),Million Dollar Afro (Deluxe Edition),180631,1,2022,1,spotify:track:3iL70TErvtXfjzv3aHpNHR,0.884,0.456,7,-10.105,1,0.356,0.00538,0.0,0.0911,0.292,97.041,audio_features,3iL70TErvtXfjzv3aHpNHR,spotify:track:3iL70TErvtXfjzv3aHpNHR,https://api.spotify.com/v1/tracks/3iL70TErvtXfjzv3aHpNHR,https://api.spotify.com/v1/audio-analysis/3iL70TErvtXfjzv3aHpNHR,180631,4,100.0
11782,6/4/2022 4:41,Mike Sherm,Jackass,Chasin Chicken,143777,6,2022,3,spotify:track:34GDyy3qGMH9PebVhoGEWg,0.941,0.637,9,-8.187,1,0.487,0.139,0.0,0.0617,0.32,97.036,audio_features,34GDyy3qGMH9PebVhoGEWg,spotify:track:34GDyy3qGMH9PebVhoGEWg,https://api.spotify.com/v1/tracks/34GDyy3qGMH9PebVhoGEWg,https://api.spotify.com/v1/audio-analysis/34GDyy3qGMH9PebVhoGEWg,143778,4,99.99930448330065
12412,7/9/2022 2:06,Chef E,OneFineBiddy,OneFineBiddy,222898,7,2022,3,spotify:track:4RuUCL6A0JWEyKZUWeVaCA,0.942,0.473,6,-10.292,0,0.211,0.14,0.0,0.0649,0.423,100.974,audio_features,4RuUCL6A0JWEyKZUWeVaCA,spotify:track:4RuUCL6A0JWEyKZUWeVaCA,https://api.spotify.com/v1/tracks/4RuUCL6A0JWEyKZUWeVaCA,https://api.spotify.com/v1/audio-analysis/4RuUCL6A0JWEyKZUWeVaCA,222899,4,99.99955136631388
11193,12/16/2022 21:13,Young Thug,What's the Move (feat. Lil Uzi Vert),So Much Fun,156363,12,2022,1,spotify:track:3pTScODwk9tggZzmuH6xDY,0.961,0.438,7,-7.877,1,0.31,0.0431,0.0,0.139,0.412,124.018,audio_features,3pTScODwk9tggZzmuH6xDY,spotify:track:3pTScODwk9tggZzmuH6xDY,https://api.spotify.com/v1/tracks/3pTScODwk9tggZzmuH6xDY,https://api.spotify.com/v1/audio-analysis/3pTScODwk9tggZzmuH6xDY,251080,4,62.27616695873826
10705,5/9/2022 5:26,Young Thug,"Slime Shit (feat. Yak Gotti, Duke & Peewee Roscoe)",Slime Season 3,278040,5,2022,2,spotify:track:7iynYKl5NWdjM1FXTzs6hw,0.896,0.423,8,-7.987,1,0.44,0.02,0.0,0.182,0.282,132.928,audio_features,7iynYKl5NWdjM1FXTzs6hw,spotify:track:7iynYKl5NWdjM1FXTzs6hw,https://api.spotify.com/v1/tracks/7iynYKl5NWdjM1FXTzs6hw,https://api.spotify.com/v1/audio-analysis/7iynYKl5NWdjM1FXTzs6hw,278040,4,100.0
