,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label,artistName,trackName,Season,month,endTime
1506,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,1,2,2/3/2022 4:21
1507,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,1,2,2/4/2022 4:54
1508,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,1,2,2/8/2022 0:31
1509,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,1,2,2/11/2022 22:24
1510,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,1,2,2/12/2022 18:54
1511,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,1,2,2/17/2022 22:50
1512,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,2,3,3/22/2022 18:07
1513,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,2,4,4/10/2022 22:16
1514,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,2,4,4/29/2022 6:10
1515,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,2,5,5/21/2022 6:47
1516,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,3,8,8/28/2022 18:18
1517,0.7970601140851251,0.451279147578113,0.9090909090909092,0.8807813673929377,0.037672465506898616,0.5939418128668783,0.0,0.09272918861959958,0.5869427424466511,0.4251759299152665,9,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,4,11,11/24/2022 5:13
1924,0.7049144361562089,0.5490811756833275,0.4545454545454546,0.7494515401953419,0.03623275344931013,0.480366131812317,8.827726809378185e-06,0.08198103266596418,0.47390661314177057,0.18957998772733803,9,mike.,life got crazy,1,1,1/20/2022 23:24
1925,0.7049144361562089,0.5490811756833275,0.4545454545454546,0.7494515401953419,0.03623275344931013,0.480366131812317,8.827726809378185e-06,0.08198103266596418,0.47390661314177057,0.18957998772733803,9,mike.,life got crazy,1,1,1/21/2022 4:19
1926,0.7049144361562089,0.5490811756833275,0.4545454545454546,0.7494515401953419,0.03623275344931013,0.480366131812317,8.827726809378185e-06,0.08198103266596418,0.47390661314177057,0.18957998772733803,9,mike.,life got crazy,1,1,1/22/2022 1:32
1927,0.7049144361562089,0.5490811756833275,0.4545454545454546,0.7494515401953419,0.03623275344931013,0.480366131812317,8.827726809378185e-06,0.08198103266596418,0.47390661314177057,0.18957998772733803,9,mike.,life got crazy,1,1,1/22/2022 11:04
1928,0.7049144361562089,0.5490811756833275,0.4545454545454546,0.7494515401953419,0.03623275344931013,0.480366131812317,8.827726809378185e-06,0.08198103266596418,0.47390661314177057,0.18957998772733803,9,mike.,life got crazy,1,1,1/25/2022 0:32
