,endTime,artistName,trackName,albumName,msPlayed,month,year,Season,trackUri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Percentage_Listened
5013,2/15/2022 0:46,Bobby Shmurda,Hot N*gga,Hot N*gga,930,2,2022,1,spotify:track:19gEmPjfqSZT0ulDRfjl0m,0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,audio_features,19gEmPjfqSZT0ulDRfjl0m,spotify:track:19gEmPjfqSZT0ulDRfjl0m,https://api.spotify.com/v1/tracks/19gEmPjfqSZT0ulDRfjl0m,https://api.spotify.com/v1/audio-analysis/19gEmPjfqSZT0ulDRfjl0m,194561,4,0.47799918791535817
10705,5/9/2022 5:26,Young Thug,"Slime Shit (feat. Yak Gotti, Duke & Peewee Roscoe)",Slime Season 3,278040,5,2022,2,spotify:track:7iynYKl5NWdjM1FXTzs6hw,0.896,0.423,8,-7.987,1,0.44,0.02,0.0,0.182,0.282,132.928,audio_features,7iynYKl5NWdjM1FXTzs6hw,spotify:track:7iynYKl5NWdjM1FXTzs6hw,https://api.spotify.com/v1/tracks/7iynYKl5NWdjM1FXTzs6hw,https://api.spotify.com/v1/audio-analysis/7iynYKl5NWdjM1FXTzs6hw,278040,4,100.0
11782,6/4/2022 4:41,Mike Sherm,Jackass,Chasin Chicken,143777,6,2022,3,spotify:track:34GDyy3qGMH9PebVhoGEWg,0.941,0.637,9,-8.187,1,0.487,0.139,0.0,0.0617,0.32,97.036,audio_features,34GDyy3qGMH9PebVhoGEWg,spotify:track:34GDyy3qGMH9PebVhoGEWg,https://api.spotify.com/v1/tracks/34GDyy3qGMH9PebVhoGEWg,https://api.spotify.com/v1/audio-analysis/34GDyy3qGMH9PebVhoGEWg,143778,4,99.99930448330065
11217,5/19/2022 4:26,NLE Choppa,Shotta Flow,Shotta Flow,160013,5,2022,2,spotify:track:4dAMdQ6g4kGmnc1MDHsg77,0.888,0.43,9,-6.728,1,0.588,0.0786,1.58e-06,0.132,0.45,120.088,audio_features,4dAMdQ6g4kGmnc1MDHsg77,spotify:track:4dAMdQ6g4kGmnc1MDHsg77,https://api.spotify.com/v1/tracks/4dAMdQ6g4kGmnc1MDHsg77,https://api.spotify.com/v1/audio-analysis/4dAMdQ6g4kGmnc1MDHsg77,160013,4,100.0
8392,3/20/2022 3:32,Bhad Bhabie,Gucci Flip Flops (feat. Lil Yachty),15,95490,3,2022,2,spotify:track:3hv6ndi7uFT9L9wrhQCsqY,0.82,0.603,8,-7.18,1,0.308,0.0351,0.0159,0.122,0.177,159.976,audio_features,3hv6ndi7uFT9L9wrhQCsqY,spotify:track:3hv6ndi7uFT9L9wrhQCsqY,https://api.spotify.com/v1/tracks/3hv6ndi7uFT9L9wrhQCsqY,https://api.spotify.com/v1/audio-analysis/3hv6ndi7uFT9L9wrhQCsqY,151851,4,62.8840113005512
