,endTime,artistName,trackName,albumName,msPlayed,month,year,Season,trackUri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Percentage_Listened
4283,1/28/2022 17:13,Cordae,RNP (feat. Anderson .Paak),The Lost Boy,2162,1,2022,1,spotify:track:5lw8Mgb4LyhriPIC86gV6e,0.611,0.714,9,-4.696,0,0.856,0.184,0.0,0.145,0.628,196.043,audio_features,5lw8Mgb4LyhriPIC86gV6e,spotify:track:5lw8Mgb4LyhriPIC86gV6e,https://api.spotify.com/v1/tracks/5lw8Mgb4LyhriPIC86gV6e,https://api.spotify.com/v1/audio-analysis/5lw8Mgb4LyhriPIC86gV6e,175828,4,1.2296107559660576
10684,5/9/2022 4:06,Kanye West,Real Friends,The Life Of Pablo,251573,5,2022,2,spotify:track:66Q3fAmSX5eHamgbKa9alP,0.441,0.744,6,-6.248,0,0.476,0.262,0.000382,0.138,0.124,81.396,audio_features,66Q3fAmSX5eHamgbKa9alP,spotify:track:66Q3fAmSX5eHamgbKa9alP,https://api.spotify.com/v1/tracks/66Q3fAmSX5eHamgbKa9alP,https://api.spotify.com/v1/audio-analysis/66Q3fAmSX5eHamgbKa9alP,251573,4,100.0
10565,5/6/2022 7:17,SOB X RBE,Anti,SOB X RBE,169017,5,2022,2,spotify:track:3BVC9lRwjgKrWwDxgFAKA8,0.702,0.785,7,-6.842,0,0.743,0.321,0.0,0.0682,0.647,132.857,audio_features,3BVC9lRwjgKrWwDxgFAKA8,spotify:track:3BVC9lRwjgKrWwDxgFAKA8,https://api.spotify.com/v1/tracks/3BVC9lRwjgKrWwDxgFAKA8,https://api.spotify.com/v1/audio-analysis/3BVC9lRwjgKrWwDxgFAKA8,169017,3,100.0
4124,3/9/2022 20:10,Wale,Ambition (feat. Meek Mill & Rick Ross),Ambition,302546,3,2022,2,spotify:track:5tZmLjU4vhPlJb12IweZuB,0.42,0.744,8,-5.033,1,0.396,0.398,8.54e-06,0.192,0.324,161.792,audio_features,5tZmLjU4vhPlJb12IweZuB,spotify:track:5tZmLjU4vhPlJb12IweZuB,https://api.spotify.com/v1/tracks/5tZmLjU4vhPlJb12IweZuB,https://api.spotify.com/v1/audio-analysis/5tZmLjU4vhPlJb12IweZuB,302547,4,99.99966947284223
1706,1/20/2022 20:17,Jacquees,You,Street Love,27856,1,2022,1,spotify:track:5Y77SQxEr1eiofPeUTPHxM,0.412,0.876,5,-6.008,0,0.47,0.102,0.0,0.297,0.703,130.159,audio_features,5Y77SQxEr1eiofPeUTPHxM,spotify:track:5Y77SQxEr1eiofPeUTPHxM,https://api.spotify.com/v1/tracks/5Y77SQxEr1eiofPeUTPHxM,https://api.spotify.com/v1/audio-analysis/5Y77SQxEr1eiofPeUTPHxM,273133,5,10.198694408950951
