,Count,trackName,color
0,8.15,Good Days,pred
1,6.664,Dark Red,pred
2,4.31,Lost,pred
3,10.931,Funny Thing,pred
4,5.45,I Hate U,pred
5,4.043,Pink + White,pred
6,5.533,Love Is Only a Feeling,pred
7,3.505,Ivy,pred
8,2.935,Sundress,pred
9,5.415,White Ferrari,pred
10,3.382,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",pred
11,5.069,Novacane,pred
12,6.817,Super Rich Kids,pred
13,78.0,Strawberry Skies,pred
14,4.117,DEVASTATED,pred
