,Count,trackName,color
0,8.244,Good Days,pred
1,6.659,Dark Red,pred
2,4.302,Lost,pred
3,10.931,Funny Thing,pred
4,5.51,I Hate U,pred
5,4.046,Pink + White,pred
6,5.61,Love Is Only a Feeling,pred
7,3.546,Ivy,pred
8,2.919,Sundress,pred
9,5.404,White Ferrari,pred
10,3.385,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",pred
11,5.054,Novacane,pred
12,6.828,Super Rich Kids,pred
13,78.0,Strawberry Skies,pred
14,4.131,DEVASTATED,pred
