,Count,trackName,color
0,8.211,Good Days,pred
1,6.659,Dark Red,pred
2,4.327,Lost,pred
3,10.923,Funny Thing,pred
4,5.473,I Hate U,pred
5,4.05,Pink + White,pred
6,5.546,Love Is Only a Feeling,pred
7,3.519,Ivy,pred
8,3.17,Sundress,pred
9,5.372,White Ferrari,pred
10,4.277,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",pred
11,6.422,Novacane,pred
12,6.912,Super Rich Kids,pred
13,78.0,Strawberry Skies,pred
14,4.697,DEVASTATED,pred
