trackName,msPlayed,duration_ms,hoursPlayed,Percentage_Listened
U and Dat (feat. T. Pain & Kandi Girl),336355,810880,0.09,0.41
Uber,5855515,6603245,1.63,0.89
Uber Everywhere,153428,153429,0.04,1.0
Ultraviolet,664145,749256,0.18,0.89
Umbrella,97290,275987,0.03,0.35
Unbothered,952,138427,0.0,0.01
Undefeated (feat. Lil Keed),240839,312934,0.07,0.77
Under The Sun (with J. Cole & Lute feat. DaBaby),90691,404080,0.03,0.22
Understand (feat. Blxst),5385933,7525462,1.5,0.72
Understand Me,626436,1680840,0.17,0.37
Unforgettable,2280560,2806824,0.63,0.81
Unstoppable - FKJ Remix,636402,948912,0.18,0.67
Unwritten,249289,259333,0.07,0.96
Up All Night,157220,157220,0.04,1.0
Up Down (Do This All Day) (feat. B.o.B),231093,231093,0.06,1.0
Up There,220473,389654,0.06,0.57
Up Up & Away,429242,454694,0.12,0.94
Up the River,704426,758004,0.2,0.93
Upgrade U (feat. Jay-Z),554154,1363535,0.15,0.41
Used To It,598200,598200,0.17,1.0
Used to This (feat. Drake),180520,180520,0.05,1.0
VIBEZ,1493912,1594285,0.41,0.94
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",588836,701199,0.16,0.84
Valet (feat. Fetty Wap and 2 Chainz),1050017,1430268,0.29,0.73
"Verify (feat. Young Thug, Gunna)",734061,980958,0.2,0.75
Versace on the Floor,284605,1044960,0.08,0.27
Vetement Socks,5552501,6358526,1.54,0.87
Vibe Like This (feat. Ty Dolla $ign & Lucky Daye),6280633,8642568,1.74,0.73
Vibe With You (feat. Ty Dolla $ign),1045499,1884510,0.29,0.55
Violent Crimes,1844574,2583840,0.51,0.71
Vlone Flex,2830247,3201768,0.79,0.88
Voice of the Heroes,2706252,2930186,0.75,0.92
Vroom Vroom,471354,471354,0.13,1.0
W2LEEZY,196428,196429,0.05,1.0
WAIT FOR U (feat. Drake & Tems),2889285,3607967,0.8,0.8
WAKE UP,231963,231964,0.06,1.0
WELFARE (feat. Westside Gunn),192070,557076,0.05,0.34
WHATS POPPIN,19667,279482,0.01,0.07
WRONG (feat. Lil Mosey),1636207,1652103,0.45,0.99
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),3494,243146,0.0,0.01
Wait for You,12407,261320,0.0,0.05
Waiting On the World to Change,603519,603519,0.17,1.0
Wake It Up,5985732,8022200,1.66,0.75
Wake Up This Day,13091,229238,0.0,0.06
Walk,38363,288192,0.01,0.13
Walk Em Down (feat. Roddy Ricch),357702,513864,0.1,0.7
Walk It Out,132521,346080,0.04,0.38
Walk It Talk It,855212,1380735,0.24,0.62
Walk Thru (feat. Problem),151370,187826,0.04,0.81
Walking On A Dream,198440,198440,0.06,1.0
Walking On Sunshine,238733,238733,0.07,1.0
Wander With Me,2540930,4308420,0.71,0.59
Wandering,281266,281267,0.08,1.0
Want Her,1278273,3031160,0.36,0.42
Wanted You (feat. Lil Uzi Vert),125759,228080,0.03,0.55
Wants and Needs (feat. Lil Baby),2928498,3859120,0.81,0.76
War with Me,422384,422384,0.12,1.0
