trackName,msPlayed,duration_ms,hoursPlayed,Percentage_Listened
As Long As You Love Me,61532,229467,0.02,0.27
Ass Like That,771883,1858360,0.21,0.42
Aston Martin Truck,5449020,7029360,1.51,0.78
Attachments (feat. Coi Leray),3047084,3420000,0.85,0.89
Aura (feat. Kojey Radical),11228497,19491168,3.12,0.58
Awesome (feat. Pusha-T),167857,229787,0.05,0.73
Ay Ay Ay (feat. 3 Glizzy),155282,155282,0.04,1.0
Ayo,181388,450454,0.05,0.4
Ayy Ladies (feat. Tyga),211293,211293,0.06,1.0
Açaí Bowl,177400,177400,0.05,1.0
B.I.D,1000991,1148931,0.28,0.87
B.Q.E,263012,527420,0.07,0.5
B.R.O. (Better Ride Out) [feat. Roddy Ricch],1888242,2848656,0.52,0.66
BEAUTIFUL (feat. Future & SZA),405227,446466,0.11,0.91
BELIEVE IT,1693237,2381847,0.47,0.71
BEST ON EARTH (feat. BIA) - Bonus,1673772,2571520,0.46,0.65
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",241922,474480,0.07,0.51
BILLI (feat. Future),378725,819015,0.11,0.46
BILLY,190956,450668,0.05,0.42
BLEACH,273151,273151,0.08,1.0
BLIND (feat. Young Thug),223828,460401,0.06,0.49
BOOGIE,487216,965775,0.14,0.5
BOP,602357,798575,0.17,0.75
Babushka Boi,31927,187105,0.01,0.17
Baby,1243770,2356640,0.35,0.53
Baby Pluto,783549,1051305,0.22,0.75
Bacc Home,426205,914415,0.12,0.47
Bacc Seat (feat. Ty Dolla $ign),179634,344640,0.05,0.52
Backflip (feat. YG & Iamsu!),1094020,1553040,0.3,0.7
Backseat (feat. PnB Rock),1760312,2048040,0.49,0.86
Bad Bad Bad (feat. Lil Baby),371917,447120,0.1,0.83
Bad Bad News,3903255,6219210,1.08,0.63
Bad Day,86665,934560,0.02,0.09
Bad Idea (feat. Chance the Rapper),1129786,1408380,0.31,0.8
Bad Romance,9450,294453,0.0,0.03
Bad and Boujee (feat. Lil Uzi Vert),343150,343150,0.1,1.0
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",499895,522300,0.14,0.96
Balance,3140474,3527128,0.87,0.89
Ballin',112338,114840,0.03,0.98
Ballin' (with Roddy Ricch),9432014,13893495,2.62,0.68
Banana Clip,84766,201627,0.02,0.42
Banana Pancakes,383812,383814,0.11,1.0
Banana Split (with YNW Melly feat. Lil Durk),2142408,4245318,0.6,0.5
Bandit (with YoungBoy Never Broke Again),52128,189323,0.01,0.28
Bang Bang,1240072,2342997,0.34,0.53
Bank Account,220306,220307,0.06,1.0
Banking On Me,3626308,6000000,1.01,0.6
Bartender (feat. Akon),478906,477600,0.13,1.0
Be Alone,2687748,3544415,0.75,0.76
Be Forreal,3483561,3737008,0.97,0.93
Be Like That - feat. Swae Lee & Khalid,358015,382812,0.1,0.94
Be Real (feat. DeJ Loaf),82383,413520,0.02,0.2
Beat It,516800,516800,0.14,1.0
Beat It (feat. Chris Brown & Wiz Khalifa),236030,253453,0.07,0.93
Beautiful,603,312987,0.0,0.0
Beautiful Escape,3566650,6366055,0.99,0.56
Beautiful Now,289926,436586,0.08,0.66
Beautiful Pain (Losin My Mind),171441,171442,0.05,1.0
Beauty In The Madness,3213733,4473360,0.89,0.72
Because Of You,255654,533680,0.07,0.48
Because of You,3599,219493,0.0,0.02
BedRock,690285,1152532,0.19,0.6
Beef (feat. Meek Mill),3245342,3718736,0.9,0.87
Been Around,407404,407406,0.11,1.0
Before He Cheats,138880,399894,0.04,0.35
Beggar's Lullaby,119623,119623,0.03,1.0
Being in Love with U,49548,49548,0.01,1.0
Best I Ever Had,544655,776280,0.15,0.7
Best Life (feat. Chance The Rapper),221820,284856,0.06,0.78
Best Part (feat. H.E.R.),1808642,2098310,0.5,0.86
Best You Had,280126,280128,0.08,1.0
Better,1296205,2666741,0.36,0.49
Better Dayz,301469,301469,0.08,1.0
Better On Me (feat. Ty Dolla $ign),232102,455894,0.06,0.51
Better Together,571434,623040,0.16,0.92
Beware,235186,235187,0.07,1.0
Bezerk (feat. A$AP Ferg),56315,151067,0.02,0.37
Big Boy Diamonds (feat. Kodak Black & London on Da Track),151481,151482,0.04,1.0
Big Fish,12847224,18822635,3.57,0.68
Big Green Tractor,220880,408400,0.06,0.54
Big Homie From The Hood,178886,178887,0.05,1.0
Big Homie From the Hood,506964,536661,0.14,0.94
Big Tymin,1142239,1288542,0.32,0.89
Bigger Than You (feat. Drake & Quavo),2554639,4066074,0.71,0.63
Billionaire (feat. Bruno Mars),101337,211160,0.03,0.48
Birthday,430084,430084,0.12,1.0
Bitch Betta Have My Money,102253,192183,0.03,0.53
Bitches (feat. 1takejay),457168,522000,0.13,0.88
Bitchuary,438545,671065,0.12,0.65
Black Beatles,22639,291893,0.01,0.08
Black Hole Sun,3832538,4772822,1.06,0.8
Blackbird,580059,845748,0.16,0.69
Bladadah,913314,1094405,0.25,0.83
Blame,127028,127029,0.04,1.0
Blame (feat. John Newman) - R3HAB Trap Remix,17541,212093,0.0,0.08
Blame It,168297,579494,0.05,0.29
Blastoff (feat. Juice Wrld & Trippie Redd),283306,349460,0.08,0.81
Bleed It,145546,145520,0.04,1.0
Bleeding Love,262466,262467,0.07,1.0
Blessing,2850101,3325662,0.79,0.86
Blessings,3908035,7548387,1.09,0.52
Bloom - Bonus Track,451394,630240,0.13,0.72
Blow the Whistle,978798,978798,0.27,1.0
Blueberry Faygo,71333,487641,0.02,0.15
Body,171845,412120,0.05,0.42
Body Language (feat. Usher & Tinashe),392459,618840,0.11,0.63
Body Like A Back Road,296509,330774,0.08,0.9
Body Party,248052,702120,0.07,0.35
Bompton to Oak Park,1978631,2138422,0.55,0.93
Born This Way,259106,260253,0.07,1.0
Both (feat. Drake),306021,380624,0.09,0.8
Bottle Girls (feat. Polo G & Almighty Jay),1238100,1490852,0.34,0.83
Bottom of the Bottle (feat. August Alsina & Lil Wayne),4270,238339,0.0,0.02
Bottoms Up (feat. Nicki Minaj),216990,242013,0.06,0.9
Bounce,2092478,3454200,0.58,0.61
Boyfriend #2,207400,207400,0.06,1.0
Break My Stride,510383,553440,0.14,0.92
Break Your Heart,184877,186267,0.05,0.99
Break of Dawn,4816973,5968080,1.34,0.81
Breakeven,715261,1045708,0.2,0.68
Broken,113057,200673,0.03,0.56
Broken (feat. Jessie Reyez),812880,812880,0.23,1.0
Brooklyn '95,217500,217500,0.06,1.0
Brown Boy,83470,134622,0.02,0.62
Bucket List (feat. Matthew Santos),18100,214955,0.01,0.08
Buffalo Soldier,23380,255840,0.01,0.09
Buried Alive,4580,337747,0.0,0.01
Burn Rubber,428205,598599,0.12,0.72
Bussdown,4190,194011,0.0,0.02
But Cha (feat. Josh Golden),701800,701805,0.19,1.0
Buttercup,226610,226610,0.06,1.0
Butterflies,4737269,5117949,1.32,0.93
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),686773,683880,0.19,1.0
By My Side,429374,429376,0.12,1.0
"By Yourself (feat. Bryson Tiller, Jhené Aiko & Mustard) - Remix",2683891,3324996,0.75,0.81
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",475091,475094,0.13,1.0
CAPO,2420178,3267400,0.67,0.74
CLOUT COBAIN | CLOUT CO13A1N,2056789,2775996,0.57,0.74
COUNT ON ME,206556,310400,0.06,0.67
CUFF IT,2680237,3606224,0.74,0.74
Calabasas,1222796,1760000,0.34,0.69
California Gurls,469306,469306,0.13,1.0
Call Me Maybe,338799,580200,0.09,0.58
Callaita,501066,501068,0.14,1.0
Calling My Phone,432328,616374,0.12,0.7
Came To Do (feat. Akon),28136,228360,0.01,0.12
Campaign (feat. Future),237654,237655,0.07,1.0
Can't Believe It (feat. Lil' Wayne),540968,549014,0.15,0.99
Can't Get Enough,677880,677880,0.19,1.0
Can't Let You Go (feat. Mike Shorey & Lil' Mo),1335045,1567811,0.37,0.85
Candle,643560,643560,0.18,1.0
Candy (feat. Trippie Redd),190859,313438,0.05,0.61
Candy Paint,3497556,5460792,0.97,0.64
Candy Shop,209106,209107,0.06,1.0
Capsize,202865,237707,0.06,0.85
Cardigan,436696,476127,0.12,0.92
Carnival,4773144,5451226,1.33,0.88
Caroline,629755,838560,0.17,0.75
Carry Out (Featuring Justin Timberlake),1162330,1162335,0.32,1.0
Carry on Wayward Son,419887,646000,0.12,0.65
Cash In Cash Out,3328344,3890448,0.92,0.86
Cash Money,414635,420230,0.12,0.99
Casper,929671,1182474,0.26,0.79
Cassandra,550173,699892,0.15,0.79
Cat Daddy,53956,401606,0.01,0.13
Caught Me a Rhythm,595101,595101,0.17,1.0
Caught Up,214368,214368,0.06,1.0
Celebration,298866,181040,0.08,1.65
Cha Cha Slide - Original Live Platinum Band Mix,340102,774986,0.09,0.44
Champions,3717977,4345289,1.03,0.86
Chanel,437402,1051425,0.12,0.42
Chanel (Go Get It) [feat. Gunna & Lil Baby],848158,1210242,0.24,0.7
Change Lanes,205861,205861,0.06,1.0
Changed,175346,175346,0.05,1.0
Charlie,522432,649040,0.15,0.8
"Charlie 2 (feat. DaBoii, Nef The Pharaoh & Mike Sherm)",184615,184615,0.05,1.0
Charlie Brown,58832,220693,0.02,0.27
Chasing Cars,143894,267933,0.04,0.54
Check,488540,922772,0.14,0.53
"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",3516915,4416000,0.98,0.8
Chemicals,1460466,2198977,0.41,0.66
Chemistry,666665,666665,0.19,1.0
Chicken Adobo,5452080,6947654,1.51,0.78
Chicken Tenders,170405,170405,0.05,1.0
Chill Bill (feat. J. Davi$ & Spooks),354368,354368,0.1,1.0
Choppa DaVinci,184293,522084,0.05,0.35
Chosen (feat. Ty Dolla $ign),17153915,25707756,4.76,0.67
Christopher Walking,505066,953400,0.14,0.53
Chronicles (feat. H.E.R. & Lil Durk),16069600,20359392,4.46,0.79
Chucky Cheese,209132,330586,0.06,0.63
Church - Hex Cougar Remix,204435,209675,0.06,0.98
Cigarette Daydreams,86404,208760,0.02,0.41
Classic,373328,526281,0.1,0.71
Classic Man (feat. Roman GianArthur),109388,678000,0.03,0.16
Classic and Perfect,2940911,4020807,0.82,0.73
Cleaner Air,128129,128129,0.04,1.0
Climax,10263,232907,0.0,0.04
Clocks,307879,307880,0.09,1.0
Closer,2421177,3919360,0.67,0.62
Cloud 9,235814,258143,0.07,0.91
Clout (feat. 21 Savage),45418,200373,0.01,0.23
Clout (feat. Cardi B),41610,205803,0.01,0.2
Club Can't Handle Me (feat. David Guetta),234560,234560,0.07,1.0
CoCo,291492,479148,0.08,0.61
Coaster,582820,796480,0.16,0.73
Codeine Crazy,2972541,3815977,0.83,0.78
Codeine Dreaming (feat. Lil Wayne),9200,264532,0.0,0.03
Coffee,8710,180053,0.0,0.05
Coffee (feat. Marc E. Bassy),1260371,1260371,0.35,1.0
Colbert,6213264,8335041,1.73,0.75
Cold,1199702,1831842,0.33,0.65
Cold (feat. Tory Lanez),219463,219465,0.06,1.0
Collard Greens,116308,299960,0.03,0.39
Colored Dreams / Killers Pt. 2,428642,1059340,0.12,0.4
Colorful Shit,1420529,1950520,0.39,0.73
Colours of Freedom,896000,896000,0.25,1.0
Come Back To Me (Remix),284551,938815,0.08,0.3
Come Through and Chill (feat. J. Cole & Salaam Remi),322000,322000,0.09,1.0
Come With Me,8803918,10906064,2.45,0.81
Comfortable,4561258,6558763,1.27,0.7
Coming Home,205595,477386,0.06,0.43
Common (with Big Sean),4075871,5098304,1.13,0.8
Compensating (feat. Young Thug),791419,791424,0.22,1.0
Confessions Part II,41819,211200,0.01,0.2
Contact,141875,141875,0.04,1.0
Controlla,245226,245227,0.07,1.0
Cooks,25597,348210,0.01,0.07
Cooler Than Me - Single Mix,304849,426586,0.08,0.71
Cooped Up (with Roddy Ricch),21181765,28250264,5.88,0.75
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",217866,217867,0.06,1.0
Cotton Candy,10211599,11924768,2.84,0.86
Counting Stars,416576,515680,0.12,0.81
Country Girl (Shake It For Me),587662,676680,0.16,0.87
Cowboys Don’t Cry,2108107,2849535,0.59,0.74
Crank That (Soulja Boy),221933,221933,0.06,1.0
Cravin (feat. G-Eazy),75534,178907,0.02,0.42
Crazy Dream,212044,212044,0.06,1.0
Crazy In Love (feat. Jay-Z),437451,472266,0.12,0.93
Crew (feat. Brent Faiyaz & Shy Glizzy),176702,176702,0.05,1.0
Crooked Smile (feat. TLC),1114292,1114292,0.31,1.0
Crossroads,308000,308000,0.09,1.0
Cupid Shuffle,581727,925440,0.16,0.63
Cut It (feat. Young Dolph),717755,890400,0.2,0.81
Cyclone (feat. T-Pain) - Main,223306,444106,0.06,0.5
DAMN HOMIE (feat. Lil Yachty),2031571,3367392,0.56,0.6
DHL,268893,268893,0.07,1.0
DOLLAZ ON MY HEAD (feat. Young Thug),3713419,4944000,1.03,0.75
Daddy (feat. Rich The Kid),180962,453441,0.05,0.4
Daddy's Birthday,2422729,2924880,0.67,0.83
Damage,505799,640044,0.14,0.79
Dancer,37591,182131,0.01,0.21
Dancing,2124967,2702920,0.59,0.79
Dangerous,332398,738159,0.09,0.45
Danza Kuduro,399615,596319,0.11,0.67
Dapper (feat. Anderson .Paak),387416,579279,0.11,0.67
Dark Queen,183339,346838,0.05,0.53
Darlin',1436293,2067840,0.4,0.69
Daughters,6228122,7137210,1.73,0.87
Dead And Gone,54406,899241,0.02,0.06
Dead Wrong (feat. Ty Dolla $ign),682440,682440,0.19,1.0
Dear Fear,1378414,2790746,0.38,0.49
Deep,331259,434346,0.09,0.76
Deep End (feat. Lil Skies),745851,1052304,0.21,0.71
Deep Reverence (feat. Nipsey Hussle),174737,230906,0.05,0.76
Deep Wounds,180293,180293,0.05,1.0
Deference for Darkness,1114387,1992600,0.31,0.56
Designer Boi,6063995,7988438,1.68,0.76
Detroit Become Human - Opening Theme,151480,151480,0.04,1.0
Devil Eyes,325376,525088,0.09,0.62
Diamonds (feat. A$AP Rocky),36548,180474,0.01,0.2
Die Hard,7784575,10039134,2.16,0.78
Die Under The Moon,218731,218731,0.06,1.0
Die Young,1315512,1261256,0.37,1.04
Differences,141641,265533,0.04,0.53
Digits,176386,176387,0.05,1.0
Dilemma,289160,289160,0.08,1.0
Dior (with Gunna) - Remix,1421577,2534257,0.39,0.56
Dip (feat. Nicki Minaj) (feat. Nicki Minaj),267619,587976,0.07,0.46
Dip Dip,604195,758075,0.17,0.8
Dirt Road Anthem,256138,688200,0.07,0.37
Disco Inferno,393024,856908,0.11,0.46
Disco Yes,2331459,3370536,0.65,0.69
Distance (feat. Issa Gold & Erick The Architect),13998,133053,0.0,0.11
Distraction,1223910,1884509,0.34,0.65
Disturbia,238408,238627,0.07,1.0
Diva (feat. Lil Tecca),172004,172005,0.05,1.0
Do It Again,173493,173494,0.05,1.0
Do It Big,158499,203719,0.04,0.78
Do Not Disturb ft. NAV and Yung Bleu,5868713,7039564,1.63,0.83
Do The John Wall,200344,263880,0.06,0.76
Do The Most,144098,144098,0.04,1.0
Do What I Want,25263,240944,0.01,0.1
"Do What I Want (feat. IAMSU!, K CAMP & RJ)",99060,240944,0.03,0.41
Do You Remember,1320379,1892763,0.37,0.7
Do You There (feat. Marc E. Bassy),31810,287667,0.01,0.11
Dolly (with Lil Uzi Vert),719252,719252,0.2,1.0
Dolo (feat. R. Kelly),522446,611961,0.15,0.85
Domino,1104161,1158465,0.31,0.95
Don't,277971,793172,0.08,0.35
Don't Even Trip (feat. Moneybagg Yo),172848,256000,0.05,0.68
Don't Fade - Single Version,1873452,2663542,0.52,0.7
Don't Forget,911575,1149687,0.25,0.79
"Don't Get Much Better (with Jeremih, Ty Dolla $ign & Sage The Gemini)",267863,531626,0.07,0.5
Don't Hurt Me,16161,192995,0.0,0.08
Don't Leave Me Lonely(feat. Elley Duhé) [Acoustic],275258,406479,0.08,0.68
Don't Let Me Down (feat. Daya) - Illenium Remix,59404,218933,0.02,0.27
Don't Matter,1896233,3223583,0.53,0.59
Don't Mind,570565,594711,0.16,0.96
Don't Play With Me,210429,210429,0.06,1.0
Don't Stop 'Til You Get Enough,1374629,1827335,0.38,0.75
Don't Tell 'Em,534446,800520,0.15,0.67
Don't You (Forget About Me),41600,263040,0.01,0.16
Don't You Worry Child - Radio Edit,212862,212862,0.06,1.0
Don't make me beg (With Lil Baby),2257301,3109395,0.63,0.73
Dope,168611,669279,0.05,0.25
Dope Game,550,219429,0.0,0.0
Down,212506,212520,0.06,1.0
Down Below,63833,224002,0.02,0.28
Down For Me (feat. 24hrs),246804,407226,0.07,0.61
Down On Me,250234,456906,0.07,0.55
Down by the Water,1176732,2674395,0.33,0.44
Drank in My Cup,428007,464320,0.12,0.92
Drankin N Smokin,9601253,13878800,2.67,0.69
Dreaming with a Broken Heart,58740,245747,0.02,0.24
Dreams - 2004 Remaster,710514,1031200,0.2,0.69
Dreams and Nightmares,5898327,9458413,1.64,0.62
"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",4292,222987,0.0,0.02
Drift,2091434,2474648,0.58,0.85
Drip Day N Night (feat. Gunna & Lil Keed),42809,195887,0.01,0.22
Drip From My Walk,60975,131063,0.02,0.47
Drip Too Hard (Lil Baby & Gunna),1713879,2183145,0.48,0.79
Drive By,277318,587919,0.08,0.47
Drops of Jupiter (Tell Me),799871,1039732,0.22,0.77
Droptop in the Rain (feat. Tory Lanez),13676,180867,0.0,0.08
Drunk Texting (feat. Jhené Aiko),383206,454800,0.11,0.84
Dynamite,399023,611601,0.11,0.65
E.T.,208091,412746,0.06,0.5
EX - Remix,392266,392266,0.11,1.0
Easily,215813,420480,0.06,0.51
Easy,1520632,2514864,0.42,0.6
Either Way (feat. Joey Bada$$),187588,187589,0.05,1.0
Element,8820658,13303206,2.45,0.66
Emotionally Scarred,19145184,25678900,5.32,0.75
Empty,166523,248431,0.05,0.67
Energy,315630,363866,0.09,0.87
Enjoy Yourself (feat. Karol G),2379844,3364946,0.66,0.71
Entanglements,741805,1319304,0.21,0.56
Erase Your Social,19690,199993,0.01,0.1
Every Good Girl,8167640,10257358,2.27,0.8
Every Hour,224478,224478,0.06,1.0
Everybody Dies In Their Nightmares,205715,286401,0.06,0.72
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",45998,260987,0.01,0.18
Everyday We Lit (feat. PnB Rock),1159278,1577368,0.32,0.73
Everything Is Alright,207633,207634,0.06,1.0
Everywhere,138023,180060,0.04,0.77
Ex (feat. YG),788472,978798,0.22,0.81
Exchange,471292,583839,0.13,0.81
Excuse Me (feat. Too $hort),2330810,3098895,0.65,0.75
Eye of the Tiger,300454,731319,0.08,0.41
F With U (feat. Ty Dolla $ign),188021,538599,0.05,0.35
F-Stop Blues,593457,780568,0.16,0.76
FAR AWAY II (feat. A Boogie Wit da Hoodie & JID),59117,215213,0.02,0.27
FIND MY WAY,279780,279780,0.08,1.0
FINDERS KEEPERS (FEAT. SCOREY & INTERNET MONEY),1568712,1661738,0.44,0.94
FLIP THE SWITCH (feat. Drake),250055,468585,0.07,0.53
FLOWER ROAD,69747,228632,0.02,0.31
FOOL,866776,1019574,0.24,0.85
Face,200583,200584,0.06,1.0
Face It,6369684,11888967,1.77,0.54
Faces,266330,266330,0.07,1.0
Faded,449170,732450,0.12,0.61
Fair Trade (with Travis Scott),279245,873525,0.08,0.32
Fake Love In LA,1750352,2613308,0.49,0.67
Fall Threw (feat. Young Thug & Gunna),379660,379662,0.11,1.0
Falling,3837266,5490193,1.07,0.7
Family and Loyalty,549332,549334,0.15,1.0
Famous,470218,602961,0.13,0.78
Famous (feat. Reginae Carter),6991,242050,0.0,0.03
Far Away,213532,105206,0.06,2.03
Far Gone (feat. Johnny Yukon),240102,240103,0.07,1.0
Fashion Killa,5664395,6615840,1.57,0.86
Fast,208517,208518,0.06,1.0
Fast Car,2615381,4452000,0.73,0.59
Fast Lane,1426105,1996480,0.4,0.71
Father Stretch My Hands Pt. 1,775108,951440,0.22,0.81
Faucet Failure,582504,582508,0.16,1.0
Favorite Song,94737,185062,0.03,0.51
Favorite Thing,53732,173165,0.01,0.31
Fck Boys,3475950,4243200,0.97,0.82
Feel Good Inc.,222640,222640,0.06,1.0
Feel So Close - Radio Edit,206413,206413,0.06,1.0
Feel This Moment (feat. Christina Aguilera),229506,229507,0.06,1.0
Feeling,1182203,1615360,0.33,0.73
Feelins,134652,221000,0.04,0.61
Feels Like Summer,149026,149027,0.04,1.0
Feels The Same,2219417,2714630,0.62,0.82
Fergalicious,584746,584746,0.16,1.0
Fever To The Form,252960,252960,0.07,1.0
Fight Night,94700,216248,0.03,0.44
Fighting Demons,470763,601887,0.13,0.78
Find A Way (feat. Lil Baby & Lil Durk),4598105,4675440,1.28,0.98
Find Your Love,276380,417894,0.08,0.66
Fine China,707930,711600,0.2,0.99
Finesse,382000,382000,0.11,1.0
Finesse - Remix; feat. Cardi B,434576,434578,0.12,1.0
Finessin,367567,514875,0.1,0.71
Finna Charge,452214,566556,0.13,0.8
Fire Burning,719,239987,0.0,0.0
Fire In The Sky,7973546,9887563,2.21,0.81
Fire and the Flood,498764,498764,0.14,1.0
Fireflies,551485,913388,0.15,0.6
Firework,455773,455760,0.13,1.0
Fireworks,138000,138000,0.04,1.0
First Day Out,361403,509388,0.1,0.71
Flare Guns,240013,240013,0.07,1.0
FlatBed Freestyle,332264,387946,0.09,0.86
"Flex (Ooh, Ooh, Ooh)",1054446,1590075,0.29,0.66
Flight 99,1701935,3008574,0.47,0.57
"Flight To Memphis (feat. Chris Brown, Juicy J & A$AP Rocky)",10356,215690,0.0,0.05
Flights,6940039,9514548,1.93,0.73
Flirt,3043152,3900624,0.85,0.78
Flood My Wrist (feat. Lil Uzi Vert),16977,180935,0.0,0.09
Flossin’ (feat. YoungBoy Never Broke Again),1121445,1680000,0.31,0.67
Flowers,187828,187828,0.05,1.0
Fly,139302,265655,0.04,0.52
For Free (feat. Drake),319995,734780,0.09,0.44
For Tonight,1608642,2691598,0.45,0.6
Foreign (feat. Nav),733949,802638,0.2,0.91
Foreplay,287900,342742,0.08,0.84
Forever,1340577,1377960,0.37,0.97
Forever Always,650271,860640,0.18,0.76
Forever Humble,9122321,11765275,2.53,0.78
Forever Never (feat. Swae Lee & Pink Sweat$),689597,1085754,0.19,0.64
Freak Of The Week,349472,675180,0.1,0.52
Freaky,173926,173926,0.05,1.0
Freaky with You (feat. Jacquees),726688,1155600,0.2,0.63
Free Fallin',152787,256000,0.04,0.6
Free Like Me,206226,206227,0.06,1.0
Free Lunch,384058,384058,0.11,1.0
Freefall,1506949,1811600,0.42,0.83
Freek-A-Leek,944328,3292618,0.26,0.29
Fresh Eyes,1781176,2376012,0.49,0.75
Fresh Out,643920,643925,0.18,1.0
From Time,2302701,2899440,0.64,0.79
Frozen,603205,734730,0.17,0.82
Fuck It Up (feat. YG),1082559,1418450,0.3,0.76
Fuck Love (feat. Trippie Redd),149213,293040,0.04,0.51
Fuck Tha Police,206877,345717,0.06,0.6
Fuck You,445866,445866,0.12,1.0
Fukk Sleep (feat. FKA twigs),3340,192973,0.0,0.02
Full Circle,219459,217836,0.06,1.01
Fully Focused,122320,248058,0.03,0.49
Function,68638,259200,0.02,0.26
GAMES ON YOUR PHONE,663588,905598,0.18,0.73
GATTI,1268008,1268015,0.35,1.0
GDFR (feat. Sage the Gemini & Lookas) - K Theory Remix,147631,375920,0.04,0.39
GO (feat. Juice WRLD),24862,183947,0.01,0.14
GOLD,166148,266000,0.05,0.62
GUMMO,469619,630572,0.13,0.74
Galway Girl,170826,170827,0.05,1.0
Gangsta's Paradise,83777,240693,0.02,0.35
Gas Pedal,270114,416320,0.08,0.65
Gasolina,560161,770400,0.16,0.73
Gassed - Yung Bae Remix,2681907,3100842,0.74,0.86
Georgia,201293,230507,0.06,0.87
Georgia Peaches,192640,559224,0.05,0.34
Get A Bag,201079,201079,0.06,1.0
Get Even,62096,357100,0.02,0.17
Get Low,827622,1336268,0.23,0.62
Get Throwed,312255,465396,0.09,0.67
Get Together,416106,416106,0.12,1.0
Get You (feat. Kali Uchis),1167604,1390900,0.32,0.84
Getcho Mans,1461610,2324377,0.41,0.63
Getsomerest/sleepwell,332173,332173,0.09,1.0
Ghost,24295,213213,0.01,0.11
Ghostface Killers (feat. Travis Scott),49771,268933,0.01,0.19
Giddy Up (feat. Wiz Khalifa & 24KGoldn),482241,631408,0.13,0.76
Gifted (feat. Roddy Ricch),505431,505431,0.14,1.0
Girl on a Train,2857069,3103316,0.79,0.92
Girls Have Fun (feat. G-Eazy & Rich The Kid),191886,351422,0.05,0.55
Girls That Dance,205680,205680,0.06,1.0
Girls Want Girls (with Lil Baby),1137492,1775840,0.32,0.64
Give Me A Kiss,1686315,2538075,0.47,0.66
Give Your Heart a Break,524306,616041,0.15,0.85
Glamorous,414707,986292,0.12,0.42
Glorious (feat. Skylar Grey),900377,1543178,0.25,0.58
Go Crazy,1168455,1122240,0.32,1.04
Go Hard or Go Home (feat. Stressmatic of the Federation),649940,701616,0.18,0.93
"Go Loko (feat. Tyga, Jon Z)",0,299227,0.0,0.0
Go Now,173333,173333,0.05,1.0
God's Eyes,120018,135516,0.03,0.89
God's Plan,3390,198973,0.0,0.02
Going Bad (feat. Drake),1546213,2166264,0.43,0.71
Gold,225882,225882,0.06,1.0
Golden Brown,228817,841708,0.06,0.27
Good Company (feat. Swae Lee & Quavo),5178,249507,0.0,0.02
Good Day,612565,1570638,0.17,0.39
Good Drank,6470659,8908280,1.8,0.73
Good Evening,7310237,8396040,2.03,0.87
Good Life,3624923,6585982,1.01,0.55
Good Love,430427,1052808,0.12,0.41
Good Morning,240850,390186,0.07,0.62
Good News,3949588,5395290,1.1,0.73
Good Time,381684,411866,0.11,0.93
Good Vibes (Za),858631,860150,0.24,1.0
Goodie Bag,293526,439170,0.08,0.67
Goodies (feat. Petey Pablo),1667234,2007000,0.46,0.83
Gospel,98100,346588,0.03,0.28
Got It All,6691443,9388670,1.86,0.71
Got to Be Real,465911,615894,0.13,0.76
Gradually,4053647,4990720,1.13,0.81
Grant Green,202850,202850,0.06,1.0
Grapevine Pt. I,2565769,3001456,0.71,0.85
Grateful,4141207,5552154,1.15,0.75
Gravity,1112322,1966616,0.31,0.57
Greedy,195213,195213,0.05,1.0
Grove St. Party (feat. Kebo Gotti),4943650,7264297,1.37,0.68
Guatemala - From Swaecation,256341,256341,0.07,1.0
Gucci Flip Flops (feat. Lil Yachty),95490,151851,0.03,0.63
Gucci Gang,258726,620280,0.07,0.42
Habit,307742,307714,0.09,1.0
Half of My Heart,500746,500746,0.14,1.0
Hallelujah,207150,396214,0.06,0.52
Halo,67081,523280,0.02,0.13
Hands On You,1276256,1400103,0.35,0.91
Happier,46313,428580,0.01,0.11
Happy Hour,411725,709120,0.11,0.58
Hard (feat. Tay-K and BlocBoy JB),138996,138997,0.04,1.0
Hard in Da Paint,1034514,2463870,0.29,0.42
Harlem Shake,242810,393328,0.07,0.62
Hate Bein' Sober,560346,560346,0.16,1.0
Hate It Or Love It,206400,206400,0.06,1.0
Havana (feat. Young Thug),434612,433794,0.12,1.0
Head Right,142448,196364,0.04,0.73
HeadBand (feat. 2 Chainz),440480,660720,0.12,0.67
Headlines,471972,471974,0.13,1.0
Headshots (4r Da Locals),3601587,4443807,1.0,0.81
Hear Me Calling,363507,379954,0.1,0.96
Hear You Me,123065,284373,0.03,0.43
"Heart 2 Heart (feat. Meek Mill, Arin Ray, Rose Gold)",250393,462160,0.07,0.54
Heart On Ice,43218,159670,0.01,0.27
Heartbreak Warfare,269720,269720,0.07,1.0
Heartless,211000,211000,0.06,1.0
