,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName
0,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,audio_features,57BGVV6wcyhbn3hsjlqEZB,spotify:track:57BGVV6wcyhbn3hsjlqEZB,https://api.spotify.com/v1/tracks/57BGVV6wcyhbn3hsjlqEZB,https://api.spotify.com/v1/audio-analysis/57BGVV6wcyhbn3hsjlqEZB,135747,5,Element
0,0.772,0.879,2,-4.22,1,0.34,0.0283,2.25e-06,0.256,0.309,61.309,audio_features,2TRu7dMps7cVKOyazkj9Fb,spotify:track:2TRu7dMps7cVKOyazkj9Fb,https://api.spotify.com/v1/tracks/2TRu7dMps7cVKOyazkj9Fb,https://api.spotify.com/v1/audio-analysis/2TRu7dMps7cVKOyazkj9Fb,135747,5,Element
0,0.678,0.798,1,-5.923,1,0.304,0.456,0.0,0.264,0.747,145.126,audio_features,4ogUNsrAiv68W9LnD6mJJm,spotify:track:4ogUNsrAiv68W9LnD6mJJm,https://api.spotify.com/v1/tracks/4ogUNsrAiv68W9LnD6mJJm,https://api.spotify.com/v1/audio-analysis/4ogUNsrAiv68W9LnD6mJJm,160560,4,Mannequin (feat. Lil Tjay)
0,0.683,0.799,1,-5.923,1,0.3,0.456,0.0,0.264,0.752,145.128,audio_features,5eJpwQyirY5EEdNadHKRAM,spotify:track:5eJpwQyirY5EEdNadHKRAM,https://api.spotify.com/v1/tracks/5eJpwQyirY5EEdNadHKRAM,https://api.spotify.com/v1/audio-analysis/5eJpwQyirY5EEdNadHKRAM,160560,4,Mannequin (feat. Lil Tjay)
0,0.817,0.547,4,-7.92,0,0.138,0.103,0.0,0.113,0.304,130.111,audio_features,4wHPrNsVpLa2Aak3OsXKWy,spotify:track:4wHPrNsVpLa2Aak3OsXKWy,https://api.spotify.com/v1/tracks/4wHPrNsVpLa2Aak3OsXKWy,https://api.spotify.com/v1/audio-analysis/4wHPrNsVpLa2Aak3OsXKWy,206838,4,Flights
0,0.773,0.744,6,-5.108,0,0.244,0.0114,0.0,0.066,0.764,141.004,audio_features,2IT0T0EqPaUxasjl2o8J2G,spotify:track:2IT0T0EqPaUxasjl2o8J2G,https://api.spotify.com/v1/tracks/2IT0T0EqPaUxasjl2o8J2G,https://api.spotify.com/v1/audio-analysis/2IT0T0EqPaUxasjl2o8J2G,190680,4,Christopher Walking
0,0.571,0.767,2,-5.16,1,0.287,0.336,0.0,0.0809,0.605,93.421,audio_features,1dIWPXMX4kRHj6Dt2DStUQ,spotify:track:1dIWPXMX4kRHj6Dt2DStUQ,https://api.spotify.com/v1/tracks/1dIWPXMX4kRHj6Dt2DStUQ,https://api.spotify.com/v1/audio-analysis/1dIWPXMX4kRHj6Dt2DStUQ,161684,4,Chosen (feat. Ty Dolla $ign)
0,0.743,0.55,1,-6.521,0,0.436,0.42,0.0,0.162,0.564,141.864,audio_features,57Lw4YmOvpighLOnwqiuKr,spotify:track:57Lw4YmOvpighLOnwqiuKr,https://api.spotify.com/v1/tracks/57Lw4YmOvpighLOnwqiuKr,https://api.spotify.com/v1/audio-analysis/57Lw4YmOvpighLOnwqiuKr,192969,4,Banana Split (with YNW Melly feat. Lil Durk)
0,0.752,0.658,0,-6.297,1,0.342,0.0421,0.0,0.0927,0.387,151.951,audio_features,0k7wmahjkn389wAZdz19Cv,spotify:track:0k7wmahjkn389wAZdz19Cv,https://api.spotify.com/v1/tracks/0k7wmahjkn389wAZdz19Cv,https://api.spotify.com/v1/audio-analysis/0k7wmahjkn389wAZdz19Cv,213520,4,Drankin N Smokin
0,0.406,0.661,8,-5.142,1,0.311,0.173,0.0,0.101,0.335,180.206,audio_features,6hVGw7yVUd2bpdHMPCWrtN,spotify:track:6hVGw7yVUd2bpdHMPCWrtN,https://api.spotify.com/v1/tracks/6hVGw7yVUd2bpdHMPCWrtN,https://api.spotify.com/v1/audio-analysis/6hVGw7yVUd2bpdHMPCWrtN,244613,3,March Madness
0,0.5,0.69,8,-4.448,1,0.312,0.159,0.0,0.104,0.371,180.206,audio_features,3WcC6NH9J77xPEvj1SOL7z,spotify:track:3WcC6NH9J77xPEvj1SOL7z,https://api.spotify.com/v1/tracks/3WcC6NH9J77xPEvj1SOL7z,https://api.spotify.com/v1/audio-analysis/3WcC6NH9J77xPEvj1SOL7z,244511,3,March Madness
0,0.816,0.579,1,-6.097,1,0.0867,0.203,0.0,0.127,0.43,120.078,audio_features,4iHSE5R1U8jf84tRn52xRt,spotify:track:4iHSE5R1U8jf84tRn52xRt,https://api.spotify.com/v1/tracks/4iHSE5R1U8jf84tRn52xRt,https://api.spotify.com/v1/audio-analysis/4iHSE5R1U8jf84tRn52xRt,226314,4,Prospect (ft. Lil Baby)
0,0.41,0.399,0,-10.47,1,0.186,0.0492,0.0,0.115,0.309,89.806,audio_features,668vMRYpYfpLsOvWc73umT,spotify:track:668vMRYpYfpLsOvWc73umT,https://api.spotify.com/v1/tracks/668vMRYpYfpLsOvWc73umT,https://api.spotify.com/v1/audio-analysis/668vMRYpYfpLsOvWc73umT,143284,5,MONEY ON ME
0,0.743,0.687,11,-7.613,0,0.309,0.0567,0.0,0.062,0.582,108.685,audio_features,4s6vwFgPdCtidpEw8KuQT6,spotify:track:4s6vwFgPdCtidpEw8KuQT6,https://api.spotify.com/v1/tracks/4s6vwFgPdCtidpEw8KuQT6,https://api.spotify.com/v1/audio-analysis/4s6vwFgPdCtidpEw8KuQT6,190345,3,REPEAT IT (with Gunna)
0,0.787,0.743,1,-4.206,1,0.0642,0.061,0.0,0.294,0.454,102.076,audio_features,0gpFiquPvir7e3RrM4kii9,spotify:track:0gpFiquPvir7e3RrM4kii9,https://api.spotify.com/v1/tracks/0gpFiquPvir7e3RrM4kii9,https://api.spotify.com/v1/audio-analysis/0gpFiquPvir7e3RrM4kii9,300000,4,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)"
0,0.637,0.723,2,-5.547,1,0.091,0.0134,7.87e-05,0.196,0.228,143.013,audio_features,0fIffclhgJC5h8AdMMVvkp,spotify:track:0fIffclhgJC5h8AdMMVvkp,https://api.spotify.com/v1/tracks/0fIffclhgJC5h8AdMMVvkp,https://api.spotify.com/v1/audio-analysis/0fIffclhgJC5h8AdMMVvkp,214960,4,Welcome To The Party
0,0.822,0.861,11,-8.846,1,0.0832,0.25,7e-05,0.164,0.548,123.964,audio_features,7EHAXZenBzmGCpccWCyg8z,spotify:track:7EHAXZenBzmGCpccWCyg8z,https://api.spotify.com/v1/tracks/7EHAXZenBzmGCpccWCyg8z,https://api.spotify.com/v1/audio-analysis/7EHAXZenBzmGCpccWCyg8z,227373,4,SUMO | ZUMO
0,0.851,0.702,1,-4.172,1,0.268,0.0854,0.0,0.374,0.179,126.94,audio_features,1dQ84P0W0lOckT02lPEhhP,spotify:track:1dQ84P0W0lOckT02lPEhhP,https://api.spotify.com/v1/tracks/1dQ84P0W0lOckT02lPEhhP,https://api.spotify.com/v1/audio-analysis/1dQ84P0W0lOckT02lPEhhP,215839,4,Millidelphia (feat. Swizz Beatz)
0,0.611,0.66,11,-5.883,1,0.0839,0.198,0.0,0.365,0.583,71.544,audio_features,3XQY8kDjI8LARMIC9xkxQk,spotify:track:3XQY8kDjI8LARMIC9xkxQk,https://api.spotify.com/v1/tracks/3XQY8kDjI8LARMIC9xkxQk,https://api.spotify.com/v1/audio-analysis/3XQY8kDjI8LARMIC9xkxQk,246387,4,Hard in Da Paint
