,artistName,msPlayed,minPlayed,hourPlayed
586,Gibran Alcocer,9982,0.16636666666666666,0.0027727777777777777
791,Juicy J,9961,0.16601666666666667,0.0027669444444444447
306,Chri$tian Gate$,9933,0.16555,0.0027591666666666667
907,Lakeyah,9775,0.16291666666666665,0.0027152777777777774
1135,Nas,9770,0.16283333333333333,0.002713888888888889
801,Justus Bennetts,9613,0.16021666666666667,0.002670277777777778
161,Beatrich,9479,0.15798333333333334,0.0026330555555555556
621,Hardwell,9360,0.156,0.0026
59,Agust D,9333,0.15555,0.0025924999999999998
774,Jon Bellion,9301,0.15501666666666666,0.002583611111111111
537,Flawes,9290,0.15483333333333332,0.0025805555555555556
1258,Philthy Rich,9264,0.1544,0.0025733333333333333
815,Kaivon,9264,0.1544,0.0025733333333333333
1814,ZAYN,9227,0.15378333333333333,0.0025630555555555554
491,Emre Bayrak,8860,0.14766666666666667,0.002461111111111111
1580,The Alchemist,8800,0.14666666666666667,0.0024444444444444444
1343,Rema,8790,0.1465,0.0024416666666666666
332,Copeland,8710,0.14516666666666667,0.0024194444444444446
626,Headline News from The Associated Press,8707,0.14511666666666667,0.0024186111111111114
789,Jubël,8661,0.14435,0.0024058333333333336
363,DJ Sammy,8635,0.14391666666666666,0.002398611111111111
479,Elliot Root,8475,0.14125,0.0023541666666666663
455,Duñe,8359,0.13931666666666667,0.0023219444444444446
30,99 Neighbors,8335,0.13891666666666666,0.0023152777777777776
1792,Young Curt,8312,0.13853333333333334,0.002308888888888889
1014,Magentium,8034,0.1339,0.0022316666666666665
1173,NoMBe,7941,0.13235,0.002205833333333333
1573,Teletubbies,7801,0.13001666666666667,0.0021669444444444444
292,Chamillionaire,7790,0.12983333333333333,0.002163888888888889
143,Baka Not Nice,7780,0.12966666666666668,0.0021611111111111115
1698,UglyFace,7709,0.12848333333333334,0.002141388888888889
1571,TeeFLii,7642,0.12736666666666666,0.0021227777777777777
1582,The Astronomers,7578,0.1263,0.002105
1221,PDE Twin,7453,0.12421666666666667,0.0020702777777777777
776,Jonas Brothers,7378,0.12296666666666667,0.0020494444444444444
284,Cashmere Cat,7247,0.12078333333333334,0.0020130555555555557
1597,The Gregory Brothers,7058,0.11763333333333334,0.0019605555555555557
1661,Tony Touch,7012,0.11686666666666666,0.0019477777777777777
1682,Troy Ave,6989,0.11648333333333333,0.0019413888888888888
893,L'Indécis,6964,0.11606666666666667,0.0019344444444444444
831,Katzù Oso,6803,0.11338333333333334,0.0018897222222222223
1437,Shierro,6700,0.11166666666666666,0.0018611111111111111
70,Ali Gatie,6548,0.10913333333333333,0.0018188888888888888
1030,Marc Benjamin,6401,0.10668333333333334,0.0017780555555555557
1422,Sech,6292,0.10486666666666666,0.0017477777777777778
413,Devvon Terrell,6250,0.10416666666666667,0.0017361111111111112
576,G-Unit,6150,0.1025,0.0017083333333333332
642,Hopsin,6145,0.10241666666666667,0.0017069444444444445
1169,Niykee Heaton,6130,0.10216666666666667,0.0017027777777777779
1495,Sprite Lee,6094,0.10156666666666667,0.0016927777777777779
354,DESTIN CONRAD,6060,0.101,0.0016833333333333333
1863,jamesjamesjames,6019,0.10031666666666667,0.0016719444444444444
120,BIA,5990,0.09983333333333333,0.0016638888888888888
531,Finesse2tymes,5921,0.09868333333333333,0.0016447222222222221
1046,Martin Garrix,5735,0.09558333333333334,0.0015930555555555557
116,AzChike,5712,0.0952,0.0015866666666666668
1430,Sha EK,5710,0.09516666666666666,0.001586111111111111
1044,Marquis Hill,5680,0.09466666666666666,0.0015777777777777778
1659,Tones And I,5642,0.09403333333333333,0.0015672222222222222
923,Lewis Capaldi,5455,0.09091666666666667,0.001515277777777778
657,Ice Cube,5440,0.09066666666666667,0.0015111111111111113
866,Kim Cesarion,5363,0.08938333333333333,0.0014897222222222221
1160,Nickelback,5224,0.08706666666666667,0.0014511111111111111
437,Dorrough Music,5132,0.08553333333333334,0.0014255555555555556
1168,Nirvana,5131,0.08551666666666667,0.001425277777777778
366,DJ Stevie J,5061,0.08435,0.0014058333333333332
1494,Spotify,5015,0.08358333333333333,0.0013930555555555556
236,Bruno Mali,4951,0.08251666666666667,0.0013752777777777778
1366,Robert Glasper,4922,0.08203333333333333,0.0013672222222222221
1846,dodie,4922,0.08203333333333333,0.0013672222222222221
1686,Twin Peaks,4760,0.07933333333333334,0.0013222222222222222
784,Josh Turner,4586,0.07643333333333334,0.001273888888888889
700,Jaheim,4550,0.07583333333333334,0.0012638888888888888
1892,wantmoreN8,4504,0.07506666666666667,0.0012511111111111113
1126,NCT 127,4474,0.07456666666666667,0.0012427777777777778
1077,Mighloe,4458,0.0743,0.0012383333333333335
559,Frankie J,4430,0.07383333333333333,0.0012305555555555555
869,King Harvest,4342,0.07236666666666666,0.0012061111111111111
1184,Nostalgia,4309,0.07181666666666667,0.0011969444444444445
1021,Maleek Berry,4295,0.07158333333333333,0.0011930555555555555
1451,Sie7e,4245,0.07075,0.0011791666666666665
1329,Rat Tally,4202,0.07003333333333334,0.0011672222222222223
1784,Yebba,4086,0.0681,0.001135
1457,Sinizter,4050,0.0675,0.0011250000000000001
1371,Rosa Linn,3914,0.06523333333333334,0.0010872222222222223
964,Lola Young,3900,0.065,0.0010833333333333333
1781,Ye$haYahu,3890,0.06483333333333334,0.0010805555555555557
38,A.J.,3860,0.06433333333333334,0.0010722222222222222
80,American Authors,3668,0.06113333333333333,0.0010188888888888888
177,Best Of Hits,3668,0.06113333333333333,0.0010188888888888888
1035,Marilyn Manson,3640,0.06066666666666667,0.001011111111111111
836,Kelly Clarkson,3599,0.05998333333333333,0.0009997222222222222
324,Colby O'Donis,3552,0.0592,0.0009866666666666667
288,Caye,3412,0.05686666666666667,0.0009477777777777779
